12:R:0.124920211191:-0.929095046656
13:R:0.124746770624:5.25330658913
3:R:0.124418155831:5.89899563314
0:R:0.000789417721332:0.137890260587
15:R:0.125178202074:-1.25725085853
14:R:0.124713610453:5.14639387366
8:R:0.124789456083:-0.625134536175
6:R:0.124707997298:-0.508363386901
2:R:0.124558594481:24.7833643375
7:R:0.125049915354:-0.560392488122
10:R:0.124596186793:5.51633734584
5:R:0.124596708321:-0.462431762716
16:R:0.124844697704:8.03581581007
1:R:0.124433953571:12.2541521155
11:R:0.124844112161:5.4392868517
17:R:0.0151436797299:11.9550193573
4:R:0.124399843981:-0.423030463443
9:R:0.124768408246:5.58588075988
15:r:0.117165707661:-1.23090640506
0:r:0.00415693646149:0.0590946242882
13:r:0.117123207573:-1.02344907274
12:r:0.117287747763:-0.935636726801
3:r:0.117209513502:-0.404986509332
14:r:0.11702038718:-1.11839936833
6:r:0.117124367225:-0.537853894364
4:r:0.11733468029:-0.448964028059
8:r:0.117226278557:-0.65487712358
2:r:0.11729987493:-0.367088568885
5:r:0.117351609757:-0.488525395528
1:r:0.117226552291:-0.329739702076
7:r:0.117285455746:-0.592986312484
11:r:0.11722128401:-0.856025965491
10:r:0.117240263874:2.35636041623

17:r:0.117170695948:-1.49737301456
9:r:0.117308788966:-0.717679132913
18:R:0.124951569352:-11.1193170461
19:R:0.125182867505:-5.00871605784
21:R:0.124460260123:0.871324094678
20:R:0.0:0.0
23:R:0.125030854223:0.373573203612
24:R:0.12465083518:0.0909218184006
27:R:0.124721328127:5.3190590208
22:R:0.124730846183:0.640662884018
28:R:0.124749188556:-26.5207362478
29:R:0.0276460699733:-3.17118970154
26:R:0.124795269284:2.56766072581
25:R:0.12455042168:-0.225643119547
32:R:0.124886741519:-0.433074428682
34:R:0.0168884274518:-9.1015964079
30:R:0.124689963916:19.6154777856
31:R:0.125081405042:0.203148121206
33:R:0.124725452461:5.15848659273
35:R:0.124394459995:0.392048847731
21:r:0.11697626681:-55.6572980335
18:r:0.117077747048:-1.66007005669
27:r:0.117112708137:2.17100581597
19:r:0.117277834926:-4.98151045
24:r:0.117054998877:0.123703078703
23:r:0.117092942115:0.403822237167
28:r:0.117211677456:1.73452210061
29:r:0.117017961695:1.2810809301
20:r:0.117009302654:13.6721946146
26:r:0.117072399802:-0.555950942864
25:r:0.11700521826:6.09092760515
34:r:0.11702016808:-1.90358977386
22:r:0.116999892206:0.660752733683
30:r:0.116993107355:-80.8958298992
32:r:0.117032845829:-0.405084625687
31:r:0.117224411052:0.227751366826
33:r:0.117020570219:-1.11285441963
35:r:0.116860854326:0.380688700831
36:R:0.124644217645:5.74018261557
38:R:0.124120336302:6.71358223466
41:R:0.12398737058:2.52378282535
40:R:0.124423097266:-5.36527111992
37:R:0.0268117060681:6.04373884258
44:R:0.123607115864:0.0436313542126
45:R:0.123870647595:-5.3653922956
42:R:0.124050927997:0.836154538587
47:R:0.0266489788217:9.54699111708
43:R:0.124674793536:-1.03428888968
49:R:0.123794165507:-7.65633470841
46:R:0.123857580278:-29.8723611719
48:R:0.123840906595:-95.3781283593
50:R:0.124607690588:-5.09183344431
52:R:0.126443401284:11.3953386464
51:R:0.125145524637:0.22679203901
53:R:0.126792105493:0.113839968398
38:r:0.116631439264:0.464047797372
36:r:0.116904768916:-0.549602606402
40:r:0.11641993839:-2.20716460195
41:r:0.116341179897:-0.597302537715
44:r:0.115674248461:0.0769425437008
37:r:0.116717589528:1.5738915185
39:r:0.116724680743:-0.798056099673
49:r:0.114457138403:1.82709435353
45:r:0.115697998842:0.963803122911
43:r:0.116180749205:-0.98876617909
47:r:0.115174532288:1.97082682058
42:r:0.116197347214:0.875775780689
52:r:0.114531487536:-1.08430552532
46:r:0.115306931769:-1.54517997158
48:r:0.115132399755:-1.07167791143
50:r:0.114682104082:1.25663741798
51:r:0.114468583347:0.306652774819
53:r:0.114516270104:0.201582072293
54:R:0.128914216784:-5.42425407264
55:R:0.130966923356:1.05536090351
57:R:0.137687716154:2.60602022993
56:R:0.13455284487:-5.68102953142
58:R:0.144066752945:0.674373596771
61:R:0.176056618095:5.08073568645
60:R:0.162402170767:0.441837589469
62:R:0.191453227684:5.38838099186
64:R:0.216507514098:-1.24823877849
59:R:0.151098733425:-5.25178531372
63:R:0.206733613165:1.22607879431
66:R:0.175949193403:7.92695917583
68:R:0.129188944034:-12.131977277
67:R:0.147997241216:0.470769546079
65:R:0.203630988084:1.03116274985
69:R:0.119742655012:-17.5537621019
71:R:0.0244167179067:-6.19949253147
70:R:0.116492852534:-0.383175627169
54:r:0.114283069174:0.970173225371
57:r:0.116391521444:-0.384233022907
55:r:0.114838832469:1.17162365748
56:r:0.115801613093:0.738479701661
60:r:0.121706894887:0.750423145083

61:r:0.126287820957:2.33811920517
58:r:0.117512905981:0.867794909631
64:r:0.169522723567:-0.100390381585
63:r:0.144924375857:2.02394092437
59:r:0.119811325375:1.27004729976
66:r:0.594176984066:0.305679953058

68:r:0.176437874942:-0.23913253293
69:r:0.0882903135727:1.17382093132
65:r:0.238998397155:-0.588502223805
71:r:0.101036395852:-0.806446258715
70:r:0.0846999094111:0.0876040798313
