8:R:0.124519696488:1.65628000689
17:R:0.124735174783:0.466436516077
2:R:0.124756311378:-19.85964343
3:R:0.124783073303:-26.2120713243
6:R:0.124677223739:17.539274204
10:R:0.124445577407:1.44904709616
11:R:0.0127516588444:10.413828207
14:R:0.124320010543:13.5070758458
1:R:0.124618174532:-19.7931111949
12:R:0.124567620785:13.7743389963
9:R:0.0252990772309:5.04252730659
4:R:0.0238941442471:2.52199304995
0:R:1.63724273369e-05:0.0914759778832
7:R:0.124498556036:4.88974453544
13:R:0.124529468609:7.3621611244
15:R:0.124310136379:-18.0550233797
16:R:0.124297974305:0.638774641145
5:R:0.124815943584:11.3384184476
3:r:0.117339802169:5.20591287605
2:r:0.11728841659:5.27433986035
8:r:0.116942963947:1.66224683764
17:r:0.117253539939:0.465212588351
11:r:0.117088458948:-4.95077652596
12:r:0.117159115528:-8.21614969868
10:r:0.117101236074:1.44971671044
14:r:0.117170204264:26.0710089317
9:r:0.116908505037:-11.0074098401
6:r:0.117084610269:4.97847296435
1:r:0.117215688066:-0.943386777554
0:r:0.00117765758262:0.140547211133
4:r:0.0230918044484:2.50038135512
16:r:0.117095507884:-5.6462336603
7:r:0.117057033601:4.8955763564
15:r:0.0:0.0
13:r:0.117147873667:1.07823519438
5:r:0.117163604097:-7.50659986499
19:R:0.124624245048:0.0936514064272
20:R:0.124511839412:-6.39397343667
21:R:0.124291927807:-38.0319479653
24:R:0.0319936166215:-36.3758250573
25:R:0.124608347144:-7.64915475119
18:R:0.124841527448:0.285383985784
27:R:0.124445911863:13.7196276699
26:R:0.124729803704:-54.8778091237
28:R:0.124667474174:0.803907106691
22:R:0.124531979752:2.57506496452
23:R:0.124578441272:24.3192611781
30:R:0.124328898:0.0442146569593
31:R:0.124416066142:-0.382396035402
29:R:0.124749683408:-5.84974071109
35:R:0.124499514698:-2.36889946867
33:R:0.124809804855:-32.7293120485
32:R:0.124584315892:5.45950444652
34:R:0.124524723963:-36.376966297
24:r:0.117119638887:-13.6431698808
28:r:0.117004347763:0.802933321098
19:r:0.117292375874:0.094550346956
26:r:0.0271387423:-38.8493114654
27:r:0.117167047232:-17.6940940162
31:r:0.11721683291:-0.384593093206
20:r:0.117194906888:-0.108594112271
21:r:0.117113137051:-0.330944334107
25:r:0.11710165669:4.91654836675
18:r:0.117340456515:0.282783487792
23:r:0.117251447998:2.3263765551
30:r:0.117119957179:0.0412151232972
35:r:0.117116483374:-2.36733897252
22:r:0.117109727022:-13.1392897626
29:r:0.117234724536:0.431057178064
33:r:0.117214045045:-1.31278300511
32:r:0.117191516436:-0.828206867525
34:r:0.117038629424:-11.2384233984
39:R:0.124292109581:-331.665062306
36:R:0.124815703609:0.197461991876
37:R:0.12448915588:-0.43268830728
38:R:0.0151920692868:14.021207611
40:R:0.124743027052:0.590709034505
44:R:0.12448005675:0.156711833118
47:R:0.124211336271:-0.0523938603526
41:R:0.124801362247:37.4785328484
42:R:0.124517727675:-1.08541295328
45:R:0.124625159114:17.9634567539
48:R:0.02687124734:8.55137361138
46:R:0.124350619333:-99.3978425874
43:R:0.124498012826:1.13721176711
49:R:0.124360264327:0.456463493341
50:R:0.124629953162:-13.5648500483
53:R:0.124375451617:0.320603304768
51:R:0.124142071351:13.157642108
52:R:0.124472838638:-1.05356362332
39:r:0.116891473273:1.34374934671
37:r:0.117135690781:-0.426553368266
44:r:0.116958045501:0.171480736704
36:r:0.117080138021:0.194846086878
47:r:0.116941889061:-0.049262453216
40:r:0.116965028439:6.87327793443
41:r:0.117065655612:-0.216317523905
38:r:0.117107278457:-1.09018446596
42:r:0.0245447610224:2.52081871127
45:r:0.117034986857:-0.875875063406
43:r:0.117097734332:101.677416719
48:r:0.11713106058:-7.60285890015
46:r:0.11704391041:1.14047080056
53:r:0.11681745131:0.33361210092
50:r:0.11703289818:-0.989351855411
51:r:0.0249803016594:10.480221847
49:r:0.116945787257:-5.82266921202
52:r:0.116752257913:-1.05060035241
54:R:0.00562402114753:-24.346739631
55:R:0.124492826785:-0.418678585764
57:R:0.124435663188:7.70149851343
58:R:0.124673443685:5.26314091122
56:R:0.124392856261:13.1413303812
60:R:0.0159606625382:8.71294201653
59:R:0.124139604095:2.65795897696
65:R:0.00892958088708:30.5891503133
63:R:0.0268576968128:9.67309292333
67:R:0.123691867394:-0.48376570605
62:R:0.124300874276:0.0196743600975
64:R:0.123923313207:162.670703883
61:R:0.124432107541:0.0435646467554
66:R:0.1240552053:-30.6517672434
68:R:0.0267034048567:-8.75560893872
69:R:0.123584226627:5.54074797478
70:R:0.123311130928:0.196060089456
71:R:0.123751968586:0.784698381681
54:r:0.11672059053:33.0096355219
55:r:0.11678111282:-0.410756331468
57:r:0.116714457102:7.72036448811
58:r:0.116744844955:-1.00517726844
56:r:0.116698193187:0.588037543305
60:r:0.116359864213:-0.110021340704
67:r:0.115577676375:5.83181192808
65:r:0.11597790269:4.89948530315
59:r:0.11639940854:5.81565779452
63:r:0.116273930922:-0.199775240618
64:r:0.116216784834:-0.671264789517
62:r:0.116419326959:0.040169887284
66:r:0.115888341614:0.792172237782
68:r:0.115643116047:1.14435407924
69:r:0.115368113916:2.42744762305
61:r:0.116430584111:0.065579674172
71:r:0.115153464516:0.826974592238
70:r:0.114987292498:-6.04636769392
73:R:0.123818451854:25.916156325
72:R:0.123431022115:0.989436200075
74:R:0.124187832558:0.145955334529
75:R:0.124250020727:8.46173736412
76:R:0.12480333967:-5.71116053103
77:R:0.125107580724:-17.2814227167
80:R:0.127069399735:1.028721993
79:R:0.126024850291:-7.57880674783
78:R:0.0159006289247:7.68725080418
81:R:0.128282871066:87.4841313176
83:R:0.131143550211:6.82192022719
82:R:0.129285660608:0.419833063505
84:R:0.133411713258:-0.187830645549
85:R:0.13529489977:1.32710147864
86:R:0.0128268559338:19.1353965723
87:R:0.142257629617:1.43994164299
89:R:0.152004139085:0.325139252884
88:R:0.146560196937:-0.0997222453674
73:r:0.114765667854:19.6785546563
72:r:0.114822849158:-11.5376148929
74:r:0.1148208173:0.19111663862
75:r:0.114423945724:-0.917263761271
76:r:0.114449615692:0.630569210725
77:r:0.114247304402:1.63024114522
80:r:0.114388166001:1.09795858666
79:r:0.114196279799:-1.23186034037
78:r:0.114318899964:5.20986716262
81:r:0.114351809721:5.88469696954
82:r:0.114220456107:0.506204106028
83:r:0.114709469679:0.639857385404
85:r:0.115597175747:7.74396960824
84:r:0.115262358255:-0.0760031307723
86:r:0.116125780524:-1.09724149734
87:r:0.117098236091:-4.66996265548
89:r:0.119626968665:0.546401246004
88:r:0.117724995162:0.0842368248087
90:R:0.158901881717:2.64992892467
92:R:0.175923943517:0.0655893618679
91:R:0.166849796731:0.496995999502
93:R:0.187889936782:-5.03370857219
94:R:0.198453768571:-11.7764755327
95:R:0.208580185428:8.02397898734
96:R:0.214262501188:-5.44892777338
98:R:0.201575391659:5.55971204145
97:R:0.212802043003:-5.18234089306
100:R:0.164862761298:-4.83784108751
101:R:0.14726536265:5.13923810495
99:R:0.184954413974:-4.75834801997
103:R:0.125120063493:7.42443630782
102:R:0.133774736721:-0.142481379609
105:R:0.116959309871:0.51200595389
104:R:0.118720277407:18.1767081968
106:R:0.115365269617:1.28684228347
107:R:0.00365120002556:-56.3027668968
90:r:0.120634435772:-0.235552621306
91:r:0.123024142395:0.815450673928
92:r:0.126166285114:0.454940577783
93:r:0.129845581668:-13.9633549757
94:r:0.135687836299:1.42302846656
95:r:0.14537682866:-0.581985104879
96:r:0.15943889118:4.99558471401
98:r:0.245348734434:-2.32632682993
100:r:1.56234702051:0.0139045370023
97:r:0.186512305637:5.52590188915
99:r:0.405580267525:0.160816003745
101:r:0.697830669866:1.16925278003
103:r:0.126458978809:0.653957273483
