12:R:0.000216784472642:-0.927688311056
13:R:0.000174751351681:-1.55248669568
8:R:0.000282915152883:-0.243827329056
6:R:0.000304032089767:-0.0787330354092
11:R:0.000223271161071:-1.21689359764
10:R:0.000177447532445:1.10333256012
9:R:0.000202536475317:-0.571689014597
3:R:0.000424875056565:0.641591482689
14:R:6.60399371535e-05:-0.293024707582
1:R:0.000105885426904:-1.4366340076
7:R:3.99087254584e-05:0.52438810353
15:R:0.000216267169513:-2.02893948973
2:R:0.000203162306124:0.428844659806
5:R:0.000478385321963:-0.738265243194
0:R:0.216949152542:-0.0721813976654
4:R:0.000422084594847:0.285435897073
8:r:0.000613137110592:-0.886968708619
6:r:0.000552198821097:-0.863905650058
13:r:0.000417965242621:0.994001732176
10:r:0.0010858157267:-0.469104266064
5:r:0.000725099514873:1.00399490354
11:r:0.000562628482581:-1.27674066755
3:r:0.000390907386317:-0.168577371515
7:r:0.000450365990972:0.689711500828
12:r:0.000571174229044:0.0483584126586
14:r:0.000543366686645:0.487123728765
1:r:0.00038045718656:1.2415522013
0:r:0.429166666667:-0.0539507615085
15:r:0.000472071187587:-1.51001163673
4:r:0.000220474945179:0.832431335818
2:r:0.00058274183545:-0.829042172557
9:r:0.000335754932902:-1.22649994098
16:R:0.000316933554214:0.579184426161
22:R:0.000306502374927:-1.25306494807
20:R:0.000452220002726:0.252005021268
24:R:0.00031249355603:-3.33360295505
26:R:0.000413243321896:-1.26225062106
28:R:0.000148136543845:-4.22897669887
30:R:0.00017529054324:-3.30137051414
29:R:0.000659167088278:-2.86781019422
31:R:0.000236249752955:-4.04554378898
17:R:0.000512212834025:-0.0903301649844
19:R:0.000375479262362:0.140603271677
18:R:0.000152712760891:-0.320548581606
21:R:0.000283813244762:-1.82806300385
23:R:0.000277519125881:-2.46799259548
25:R:3.957933388e-05:-1.90266133835
27:R:0.000254670225187:-3.50938486704
16:r:0.000319068307193:-1.87987670733
24:r:0.000309559235447:-0.321414441346
28:r:0.000175031474179:-1.79172816961
22:r:0.000713488582832:-2.52056645151
26:r:0.000533743875653:-2.02908916372
20:r:0.000300550382138:-0.81077264566
31:r:0.000540899137711:-5.30397946416
30:r:0.000749019970624:-4.10112107093
29:r:0.000680954791784:-2.83530293204
18:r:0.000998074128655:0.494961405938
23:r:0.000209714313812:-1.30999262835
27:r:0.000607199533098:-3.67944330006
19:r:0.000104761843145:-0.490503558031
17:r:0.000425161713671:-0.191805240609
21:r:0.000430890821742:-1.93298448235
25:r:0.000486833139959:-2.74785219664
32:R:0.000144486435733:-4.20534811705
33:R:0.00034968181854:-7.88809399746
34:R:0.000258705797027:-8.00646680748
35:R:0.000245059062973:-9.51983786078
36:R:0.000158580301716:-9.69447578778
37:R:4.81720332977e-05:-13.2112639601
40:R:7.94602955363e-05:-18.2642983371
38:R:0.000439615644967:-14.5157718724
39:R:0.000279721116707:-17.4824941825
45:R:0.000532473332431:-38.8827577856
44:R:8.59609608479e-05:-34.9859144374
41:R:0.000458027461504:-21.2676699153
42:R:0.00034560371459:-25.0375984306
47:R:0.647676397263:-58.7482246541
43:R:0.000454904929475:-29.4831622884
46:R:0.00037768726942:-47.9377783878
32:r:0.000293009662208:-5.70098362641
33:r:0.000394648982046:-8.09275141244
34:r:0.00105911215474:-7.99258939064
35:r:0.000253382468623:-10.4100038369
36:r:0.000795612148386:-8.88612089584
37:r:0.000836513894526:-12.3442384688
40:r:0.000790087357749:-17.9698472885
38:r:0.000778433345271:-15.3693584722
39:r:0.000844197567455:-15.8799333024
44:r:0.000403805453599:-35.0820247786
45:r:0.000674997781593:-39.9162997275
41:r:0.000516973152567:-23.2085880639
47:r:1.84556220774:-58.8311394364
42:r:0.000524765281472:-24.6730338186
46:r:0.000281347067042:-47.2418232518
43:r:6.44561208386e-06:-27.6792051654
