#      rate      |    C_m    |     g      |     g_1     |    tau_1    |  V_dist1   |  V_dist2   | 
# ------------------------------------------------------------------------------------------------------------------
       65000          250           25           60           70          4.5         1.25  
       65000          250           25           70           80            4         1.25  
       65000          250           25           60           70         4.25         1.25  
       65000          250           25           60           70            4         1.25  
       65000          250           25           60           70         4.75          1.5  
       65000          250           25           80           90            4          1.5  
       65000          250           25           70           80         4.25          1.5  
       65000          250           25           60           70          4.5          1.5  
       65000          250           25           70           80            4          1.5  
       65000          250           25           60           70         4.25          1.5  
       65000          250           25           60           70            4          1.5  
       65000          250           25           60           70          4.5         1.75  
       65000          250           25           70           80            4         1.75  
       65000          250           25           60           70         4.25         1.75  
       65000          250           25           60           70            4         1.75  
       65000          250           25           60           70         4.25            2  
       65000          250           25           60           70            4            2  
       65000          250           25           60           70            4         2.25  
