#       rate      |    C_m    |     g      |     g_1     |    tau_1    |  V_dist1   |  V_dist2   |   fraction  |  rate ex |  rate inh  | rate res    |  cv es     |  cv inh   |   cv res   |   cv all   |   recstart  |  simtime  
# ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       60000          250           25           60         92.5        4.025         1.15          0.1  0.000229358            0    0.0895833          NAN          NAN     0.229256     0.229256         7500        10000  
       60000          250           25           60         92.5        4.025         1.15          0.3   0.00117994            0     0.115172          NAN          NAN     0.138337     0.138337         7500        10000  
       60000          250           25           60         92.5        4.025         1.15          0.2  0.000773196            0     0.105155          NAN          NAN     0.230428     0.230428         7500        10000  
       60000          250           25           60         92.5        4.025         1.15          0.4   0.00171821  0.000943396    0.0917526          NAN          NAN     0.261793     0.261793         7500        10000  
       60000          250           25           60         92.5        4.025         1.15          0.5  0.000826446            0     0.106612          NAN          NAN     0.198143     0.198143         7500        10000  
       60000          250           25           60         92.5        4.025         1.15          0.6            0            0     0.101718          NAN          NAN     0.263622     0.263622         7500        10000  
       60000          250           25           60         92.5        4.025         1.15          0.7            0   0.00188679     0.102655          NAN          NAN     0.196724     0.196724         7500        10000  
       60000          250           25           60         92.5        4.025         1.15          0.8   0.00104167  0.000943396     0.103866          NAN          NAN     0.166687     0.166687         7500        10000  
       61000          250           25           60         92.5        4.025         1.15          0.1    0.0146789   0.00849057      3.26667            0          NAN      3.84125       3.6153         7500        10000  
       61000          250           25           60         92.5        4.025         1.15          0.2    0.0118557    0.0141509      3.38351            0            0      3.56452      3.45758         7500        10000  
       61000          250           25           60         92.5        4.025         1.15          0.3    0.0126844    0.0132075      3.48414            0          NAN      3.55219      3.52786         7500        10000  
       61000          250           25           60         92.5        4.025         1.15          0.4    0.0158076    0.0122642      3.49588     0.187989            0      3.72487      3.61783         7500        10000  
       62000          250           25           60         92.5        4.025         1.15          0.1      0.14656         0.15      4.18125     0.253841     0.343441      3.25775     0.793146         7500        10000  
       61000          250           25           60         92.5        4.025         1.15          0.5    0.0190083    0.0198113      3.53843            0          NAN      3.67494      3.61518         7500        10000  
       61000          250           25           60         92.5        4.025         1.15          0.6    0.0180412    0.0141509      3.59656            0          NAN      3.70924      3.68392         7500        10000  
       61000          250           25           60         92.5        4.025         1.15          0.7    0.0144828    0.0141509      3.62065            0            0      3.77081      3.74869         7500        10000  
       62000          250           25           60         92.5        4.025         1.15          0.2     0.139433     0.149057      4.29897     0.221067     0.307033      3.13204      1.20043         7500        10000  
       61000          250           25           60         92.5        4.025         1.15          0.8      0.01875    0.0160377      3.68222          NAN          NAN      3.73271      3.73271         7500        10000  
       62000          250           25           60         92.5        4.025         1.15          0.3     0.134218     0.133019       4.2469     0.165907     0.161504      3.35754      1.60698         7500        10000  
